<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,2"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,1.63"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,EIF2AK2,NM_001135652.2,1817"
"Endogenous,LIF,NM_002309.4,242"
"Endogenous,BRD3,NM_007371.3,1996"
"Endogenous,IGF2R,NM_000876.2,603"
"Endogenous,FPR1,NM_002029.3,262"
"Endogenous,DUSP5,NM_004419.3,1247"
"Endogenous,APC,NM_001127510.2,1533"
"Endogenous,HDAC3,NM_003883.3,658"
"Endogenous,CES3,NM_001185176.1,115"
"Endogenous,OAS2,NM_016817.2,3175"
"Endogenous,HDAC11,NM_001330636.1,327"
"Endogenous,THBS1,NM_003246.2,15560"
"Endogenous,SLC11A1,NM_000578.3,161"
"Endogenous,MAGEA3/A6,NM_005362.3,26"
"Endogenous,ARID1A,NM_006015.4,1515"
"Endogenous,CD48,NM_001778.3,171"
"Endogenous,GZMA,NM_006144.3,82"
"Endogenous,ICOSLG,NM_015259.4,393"
"Endogenous,PIK3R5,NM_014308.3,364"
"Endogenous,GZMM,NM_005317.2,60"
"Endogenous,WNT5A,NM_003392.3,373"
"Endogenous,TLR4,NR_024168.1,726"
"Endogenous,GZMB,NM_004131.4,19"
"Endogenous,PARP9,NM_001146103.1,757"
"Endogenous,LY96,NM_001195797.1,652"
"Endogenous,RAD50,NM_005732.3,1340"
"Endogenous,MX1,NM_001144925.2,1210"
"Endogenous,CENPF,NM_016343.3,1067"
"Endogenous,SELL,NM_000655.4,135"
"Endogenous,TNFSF10,NM_003810.3,1560"
"Endogenous,IL12RB2,NM_001319233.1,55"
"Endogenous,CXCL9,NM_002416.2,396"
"Endogenous,TRAT1,NM_016388.3,52"
"Endogenous,STC1,NM_003155.2,631"
"Endogenous,IL2RB,NM_000878.2,281"
"Endogenous,LILRB4,NM_001278426.3,378"
"Endogenous,SOX2,NM_003106.2,30"
"Endogenous,HCK,NM_001172129.1,538"
"Endogenous,WNT2B,NM_001291880.1,527"
"Endogenous,IL1B,NM_000576.2,77"
"Endogenous,TLR1,NM_003263.3,196"
"Endogenous,CCL22,NM_002990.3,161"
"Endogenous,ICAM2,NM_000873.3,125"
"Endogenous,MAP3K12,NM_006301.3,171"
"Endogenous,JAG1,NM_000214.2,1169"
"Endogenous,CCL3/L1,NM_021006.5,511"
"Endogenous,SOCS1,NM_003745.1,125"
"Endogenous,BCL2,NM_000633.2,1009"
"Endogenous,MAP3K8,NM_001244134.1,533"
"Endogenous,MMP1,NM_002421.2,196"
"Endogenous,CMKLR1,NM_004072.2,322"
"Endogenous,TNFRSF17,NM_001192.2,20"
"Endogenous,TLR8,NM_138636.4,87"
"Endogenous,TPM1,NM_000366.5,2120"
"Endogenous,CXorf36,NM_024689.2,223"
"Endogenous,NLRP3,NM_001079821.2,64"
"Endogenous,DEFB134,NM_001302695.1,37"
"Endogenous,HLA-DQA2,NM_020056.4,920"
"Endogenous,CX3CR1,NM_001171171.1,124"
"Endogenous,APLNR,NM_005161.4,233"
"Endogenous,MXI1,NM_001008541.1,179"
"Endogenous,FZD9,NM_003508.2,19"
"Endogenous,COL4A5,NM_000495.4,1453"
"Endogenous,FCAR,NM_133278.2,30"
"Endogenous,BRCA2,NM_000059.3,430"
"Endogenous,SFRP4,NM_003014.2,2838"
"Endogenous,TLR3,NM_003265.2,253"
"Endogenous,IL2RG,NM_000206.1,235"
"Endogenous,CD84,NM_001184879.1,708"
"Endogenous,HLA-DPA1,NM_033554.2,2564"
"Endogenous,RBL2,NM_001323611.1,2489"
"Endogenous,CCL18,NM_002988.3,103"
"Endogenous,IRF3,NM_001197122.1,680"
"Endogenous,TNFRSF8,NM_001243.3,14"
"Endogenous,KIR3DL2,NM_006737.2,18"
"Endogenous,TNFSF13,NM_003808.3,515"
"Endogenous,CLECL1,NM_172004.3,81"
"Endogenous,TNFRSF10B,NM_003842.3,220"
"Endogenous,MAGEC2,NM_016249.3,31"
"Endogenous,CDKN2A,NM_000077.4,243"
"Endogenous,ADM,NM_001124.2,90"
"Endogenous,PNOC,NM_001284244.1,33"
"Endogenous,CD247,NM_198053.2,39"
"Endogenous,PTPRC,NM_080921.3,196"
"Endogenous,OAS3,NM_006187.3,2239"
"Endogenous,LAG3,NM_002286.5,226"
"Endogenous,FOSL1,NM_005438.3,166"
"Endogenous,EOMES,NM_001278182.1,50"
"Endogenous,IL10RA,NM_001558.2,311"
"Endogenous,WDR76,NM_024908.3,262"
"Endogenous,GPC4,NM_001448.2,176"
"Endogenous,SLAMF7,NM_021181.3,96"
"Endogenous,RSAD2,NM_080657.4,2283"
"Endogenous,TLR5,NM_003268.5,576"
"Endogenous,VEGFA,NM_001171623.1,724"
"Endogenous,COL5A1,NM_000093.4,5543"
"Endogenous,CD3D,NM_000732.4,144"
"Endogenous,FBP1,NM_001127628.1,1773"
"Endogenous,ERO1A,NM_014584.2,690"
"Endogenous,CCL21,NM_002989.2,179"
"Endogenous,E2F3,NM_001243076.2,481"
"Endogenous,LDHA,NM_001135239.1,3477"
"Endogenous,MS4A1,NM_021950.3,80"
"Endogenous,CD69,NM_001781.2,157"
"Endogenous,SERPINB5,NM_002639.4,49"
"Endogenous,FAP,NM_004460.2,1693"
"Endogenous,ITGA2,NM_002203.3,273"
"Endogenous,SIGLEC5,NM_003830.3,53"
"Endogenous,SIRPB2,NM_001134836.1,98"
"Endogenous,EPM2AIP1,NM_014805.3,892"
"Endogenous,FGF18,NM_003862.2,59"
"Endogenous,HRAS,NM_005343.3,850"
"Endogenous,CCND1,NM_053056.2,17657"
"Endogenous,LAMB3,NM_000228.2,457"
"Endogenous,ID4,NM_001546.3,112"
"Endogenous,CCL4,NM_002984.2,301"
"Endogenous,GZMH,NM_033423.3,19"
"Endogenous,API5,NM_001142930.1,2643"
"Endogenous,PTGER4,NM_000958.2,275"
"Endogenous,ITGB8,NM_002214.2,141"
"Endogenous,TNKS,NM_003747.2,590"
"Endogenous,B2M,NM_004048.2,25552"
"Endogenous,TP53,NM_000546.2,822"
"Endogenous,MAGEB2,NM_002364.4,56"
"Endogenous,LYZ,NM_000239.2,1594"
"Endogenous,NCAM1,NM_000615.6,31"
"Endogenous,TCL1A,NM_001098725.1,27"
"Endogenous,HDC,NM_002112.3,243"
"Endogenous,CD27,NM_001242.4,137"
"Endogenous,SBNO2,NM_001100122.1,576"
