code_class,gene,type,mean_count,log2_transformed
Endogenous,CDKN1A,post,218,7.768184324776926
Endogenous,CD45RA,pre,42.8,5.419538891513785
Endogenous,CD45RA,post,17,4.087462841250339
Endogenous,HNF1A,pre,17.2,4.104336659814735
Endogenous,HNF1A,post,17.8,4.153805336079036
Endogenous,TICAM1,pre,73.2,6.19377174339668
Endogenous,TICAM1,post,35.8,5.161887682376894
Endogenous,C1QA,pre,553.6,9.112700132749362
Endogenous,C1QA,post,189.8,7.568336182133747
Endogenous,CD86,pre,44.8,5.485426827170242
Endogenous,CD86,post,42.8,5.419538891513785
Endogenous,ITGA4,pre,306.2,8.258330472612425
Endogenous,ITGA4,post,85.8,6.422905742612183
Endogenous,ROR2,pre,416.8,8.703211467391146
Endogenous,ROR2,post,167,7.383704292474052
Endogenous,WNT7B,pre,48.8,5.608809242675524
Endogenous,WNT7B,post,57.6,5.84799690655495
Endogenous,FLT1,pre,561,9.131856960608793
Endogenous,FLT1,post,379,8.566054038171092
Endogenous,CTAG1B,pre,13.3,3.733354340613827
Endogenous,CTAG1B,post,8.2,3.035623909730721
Endogenous,CLEC7A,pre,119.8,6.904484097901423
Endogenous,CLEC7A,post,209.8,7.712870867689905
Endogenous,TNFRSF4,pre,30.6,4.9354597478052895
Endogenous,TNFRSF4,post,27,4.754887502163468
Endogenous,MS4A6A,pre,118,6.882643049361842
Endogenous,MS4A6A,post,93,6.539158811108031
Endogenous,ANGPT2,pre,139.8,7.127220550488074
Endogenous,ANGPT2,post,105.5,6.721099188707185
Endogenous,APH1B,pre,195.8,7.613236954716332
Endogenous,APH1B,post,241.6,7.916476644437717
Endogenous,RORC,pre,151.8,7.246027980528104
Endogenous,RORC,post,146.8,7.197708157955851
Endogenous,NECTIN2,pre,1602.4,10.646018610925346
Endogenous,NECTIN2,post,523.2,9.03121873061072
Endogenous,DPP4,pre,63.6,5.990954860396993
Endogenous,DPP4,post,67,6.066089190457772
Endogenous,CCL2,pre,693.6,9.437960088334473
Endogenous,CCL2,post,237.8,7.893604904858294
Endogenous,NF1,pre,336.8,8.395748328179033
Endogenous,NF1,post,168,7.392317422778761
Endogenous,S100A9,pre,227.2,7.82781902461732
Endogenous,S100A9,post,130.2,7.024585638278273
Endogenous,NFKBIA,pre,3365.6,11.716648007881426
Endogenous,NFKBIA,post,1368.2,10.418063419796864
Endogenous,BNIP3L,pre,691.4,9.433376793375036
Endogenous,BNIP3L,post,283,8.144658242831882
Endogenous,CST2,pre,55.8,5.802193216941825
Endogenous,CST2,post,47.2,5.560714954474479
Endogenous,APOL6,pre,443.8,8.79376585730965
Endogenous,APOL6,post,177.5,7.471675214392045
Endogenous,BRD4,pre,1153.4,10.171677212169758
Endogenous,BRD4,post,259.8,8.021257620560519
Endogenous,SLC16A1,pre,196.6,7.619119511453218
Endogenous,SLC16A1,post,113.2,6.82273014794452
Endogenous,THBD,pre,125.8,6.974988111991927
Endogenous,THBD,post,34.5,5.108524456778169
Endogenous,TIGIT,pre,63,5.977279923499917
Endogenous,TIGIT,post,17.8,4.153805336079036
Endogenous,VSIR,pre,167.8,7.390598905552461
Endogenous,VSIR,post,48,5.584962500721156
Endogenous,TRIM21,pre,219.4,7.777419715515831
Endogenous,TRIM21,post,108.2,6.757556688939453
Endogenous,NBN,pre,601,9.231221180711186
Endogenous,NBN,post,235.5,7.879583249612783
Endogenous,WNT4,pre,20,4.321928094887363
Endogenous,WNT4,post,26.8,4.74416109557041
Endogenous,CXCL8,pre,22.5,4.491853096329675
Endogenous,CXCL8,post,18,4.169925001442312
Endogenous,FGF9,pre,12,3.584962500721156
Endogenous,FGF9,post,13.4,3.7441610955704103
Endogenous,C5AR1,pre,21.2,4.405992359675837
Endogenous,C5AR1,post,18.5,4.20945336562895
Endogenous,TNFRSF1B,pre,247.2,7.949534933017012
Endogenous,TNFRSF1B,post,93,6.539158811108031
Endogenous,HLA-DRB5,pre,724.2,9.500244366588815
Endogenous,HLA-DRB5,post,1047.8,10.033147651781697
Endogenous,GLUL,pre,4445.8,12.118227333004896
Endogenous,GLUL,post,3105.4,11.60056339557118
Endogenous,LY9,pre,50.6,5.661065479806948
Endogenous,LY9,post,20.5,4.357552004618084
Endogenous,TAP1,pre,306,8.257387842692651
Endogenous,TAP1,post,147,7.199672344836364
Endogenous,IFIH1,pre,700.6,9.452447177914701
Endogenous,IFIH1,post,302,8.238404739325079
Endogenous,DEPTOR,pre,515.4,9.009548726972257
Endogenous,DEPTOR,post,258.5,8.014020470314934
Endogenous,CSF1R,pre,843.6,9.720415284906329
Endogenous,CSF1R,post,667.8,9.383272283175753
Endogenous,MARCO,pre,25.5,4.672425341971495
Endogenous,MARCO,post,23,4.523561956057013
Endogenous,NFIL3,pre,164.2,7.359310316890443
Endogenous,NFIL3,post,154.8,7.274261661257048
Endogenous,IKBKG,pre,212.6,7.731997786643742
Endogenous,IKBKG,post,59.3,5.889960199658641
Endogenous,CD58,pre,104.4,6.705977901682522
Endogenous,CD58,post,57,5.832890014164741
Endogenous,LOXL2,pre,162.4,7.343407822297814
Endogenous,LOXL2,post,76,6.247927513443585
Endogenous,SPRY4,pre,301.6,8.236492618381302
Endogenous,SPRY4,post,64.8,6.017921907997263
Endogenous,NFAM1,pre,40,5.321928094887363
Endogenous,NFAM1,post,21,4.392317422778761
Endogenous,SYK,pre,169.4,7.404290064444837
Endogenous,SYK,post,81,6.339850002884624
Endogenous,COMP,pre,187.2,7.548436624696042
Endogenous,COMP,post,392.8,8.61765111942733
Endogenous,IFI6,pre,5794.8,12.500543154006449
Endogenous,IFI6,post,1522.2,10.571942209897733
Endogenous,RASGRF1,pre,30.2,4.916476644437717
