code_class,gene,log2_fold_change
Endogenous,WDR76,-0.691772815689213
Endogenous,GPC4,0.00998408857262207
Endogenous,SLAMF7,-0.6212321026464953
Endogenous,RSAD2,-0.6624429155483395
Endogenous,TLR5,-0.1797423269530165
Endogenous,VEGFA,-1.1332794046552617
Endogenous,COL5A1,0.718335775326365
Endogenous,CD3D,-0.9685503613749471
Endogenous,FBP1,-1.0762910572759328
Endogenous,ERO1A,-0.47952816686010963
Endogenous,CCL21,-0.5503638391971892
Endogenous,E2F3,-1.2431250405158962
Endogenous,LDHA,-1.4321947819450378
Endogenous,MS4A1,-0.3048545815284209
Endogenous,CD69,-0.0733731863302192
Endogenous,SERPINB5,0.07251249978436797
Endogenous,FAP,1.3090835615569465
Endogenous,ITGA2,-0.6115829011884184
Endogenous,SIGLEC5,-0.32659953461125996
Endogenous,SIRPB2,0.435884284184448
Endogenous,EPM2AIP1,-1.2286099133170907
Endogenous,FGF18,-0.4366397537640548
Endogenous,HRAS,-1.2957656076666673
Endogenous,CCND1,-0.30681494379384505
Endogenous,LAMB3,-0.7016587254302534
Endogenous,ID4,0.08958879421269754
Endogenous,CCL4,-0.42884329880387423
Endogenous,GZMH,-0.5474877953024933
Endogenous,API5,-0.953574812814596
Endogenous,PTGER4,-1.782719189331822
Endogenous,ITGB8,-1.6234880219904715
Endogenous,TNKS,-0.8821635097061419
Endogenous,B2M,-1.4858472986695361
Endogenous,TP53,-1.3329704626883516
Endogenous,MAGEB2,-0.39765542105060747
Endogenous,LYZ,-1.799803742250745
Endogenous,NCAM1,-0.2874874495583329
Endogenous,TCL1A,-0.84799690655495
Endogenous,HDC,-0.3983862587286801
Endogenous,CD27,-2.57298985905508
Endogenous,SBNO2,-0.8371052006252165
Endogenous,PECAM1,-1.0749560086580927
Endogenous,SERPINH1,-0.21233395568589877
Endogenous,SPP1,-0.9280954454262762
Endogenous,EGFR,0.05098392871880493
Endogenous,CASP8,-0.40778515705058416
Endogenous,CCNA1,-0.0324214776923775
Endogenous,TNFAIP3,-1.0321206969051129
Endogenous,CDC25C,-1.425305834732671
Endogenous,CXCR6,-1.3996832524018077
Endogenous,DLL1,-0.2902558745688181
Endogenous,OAS1,-1.6548412304685272
Endogenous,HLA-DQB1,-0.939879007562429
Endogenous,ROBO4,-1.2607205399955472
Endogenous,NFKB1,-1.1413751235996328
Endogenous,IFI27,-1.4152536672245142
Endogenous,HLA-DMB,-0.5357811370709634
Endogenous,CDKN1C,-0.041075943002915824
Endogenous,CEP55,-1.3344190390705593
Endogenous,ARG1,0.5728896684205812
Endogenous,PLOD2,0.34080956064589757
Endogenous,LAIR1,-0.46178575847032316
Endogenous,SHC2,0.06695443781165558
Endogenous,STAT3,-1.1128275629713236
Endogenous,CD45RO,-0.8783214434117476
Endogenous,CD2,-1.183962834842595
Endogenous,IL7R,-1.5291905357513982
Endogenous,FLNB,-0.6604311006491572
Endogenous,PSMB5,-1.5198613327052048
Endogenous,SLC1A5,-0.6957577742103211
Endogenous,RICTOR,0.17351152993207858
Endogenous,ZAP70,-1.280348991135963
Endogenous,TNFAIP6,1.0484205868314338
Endogenous,BTLA,-0.7447429447579254
Endogenous,RELA,-1.9765741510791885
Endogenous,MMP7,-1.352060066228517
Endogenous,TCF3,-1.6705467288894746
Endogenous,IRF8,-0.41806519197641173
Endogenous,NOS2,-0.24327115101236368
Endogenous,A2M,-0.8292465362431681
Endogenous,CCL20,-0.7004397181410921
Endogenous,MKI67,-1.8053636242385127
Endogenous,IFNGR1,-0.5421752443922534
Endogenous,INHBA,0.8135868757691187
Endogenous,WNT5B,-0.28253058145959103
Endogenous,CXCL5,0.02680005934371527
Endogenous,SOX10,0.33184356375244506
Endogenous,EGR1,-0.64144003040698
Endogenous,STAT4,-0.992080336703762
Endogenous,IFIT3,-1.075591643133452
Endogenous,GMIP,-1.328054197684204
Endogenous,ARNT2,-0.6438561897747247
Endogenous,UBE2C,-1.6059221193568023
Endogenous,CHUK,-1.5507233397331583
Endogenous,GHR,0.0998832690328728
Endogenous,TPI1,-1.6259006128888882
Endogenous,HAVCR2,-0.11372573603340508
Endogenous,GOT2,-0.8067843485714685
Endogenous,PIK3CA,-0.27723586724375104
Endogenous,TNFSF9,-0.017594060014738185
Endogenous,IDO1,-1.2239648411552015
Endogenous,APOE,-0.8298543342060828
Endogenous,LILRB2,-0.9834804106412934
Endogenous,PARP4,-0.7023285924941887
Endogenous,PFKM,-0.5956097449206648
Endogenous,THY1,-0.2731984335802911
Endogenous,SAMD9,-1.06814499526233
Endogenous,TGFB1,-0.9091975682255498
Endogenous,CD8A,-0.8996950942043145
Endogenous,SELE,-0.3813753319173085
Endogenous,CDKN2B,0.7052567344388679
Endogenous,CD5,-0.8443491295398058
Endogenous,HLA-A,-1.850984657008085
Endogenous,FZD8,-1.7031885821817818
Endogenous,BCL2L1,-1.0083335662494752
Endogenous,TNFRSF9,-0.6806276100163943
Endogenous,XCL1/2,-1.0853914912306446
Endogenous,MAGEA4,0.08091999538356746
Endogenous,PMS2,-0.6564130239828647
Endogenous,KLRD1,-1.0043001374336256
Endogenous,NFATC2,-0.7764566451833738
Endogenous,VEGFB,-1.6365766083286957
Endogenous,CDC20,-1.6049539759086224
Endogenous,OTOA,0.6280312226130421
Endogenous,TPSAB1/B2,-0.9911952583751652
Endogenous,P4HA1,-0.6375494628153757
Endogenous,P2RY13,-1.0123132614388515
Endogenous,EXO1,-1.3770696490798233
Endogenous,CD70,0.39119075732447595
Endogenous,DDB2,-1.1712645034155929
Endogenous,NDUFA4L2,-1.0495201358437989
Endogenous,IFITM1,-1.906095503253928
Endogenous,IFNAR1,-0.2631427610136028
Endogenous,TREM1,-0.0960268877737757
Endogenous,CXCL13,-2.736965594166206
Endogenous,TWIST2,-0.16600995143892924
Endogenous,HLA-DRB1,-0.5607662165790872
Endogenous,FGFR1,-0.9695806041221462
Endogenous,TBXAS1,-0.22758556982950406
Endogenous,NCR1,0.08246216019197297
Endogenous,SOX11,1.1386535397860302
Endogenous,TLR2,-0.315480149156633
Endogenous,TWF1,-1.2392698819986636
Endogenous,CCL5,-2.021879325020627
Endogenous,ITGAL,-1.0536971231797532
Endogenous,MYCT1,0.03992618441275893
Endogenous,CD96,-1.473583509082413
Endogenous,PROM1,-2.3656494723166803
Endogenous,OASL,-1.8377830936929507
Endogenous,IFNG,0.17449773123213647
Endogenous,BATF3,-1.1144199106368937
Endogenous,EZH2,-1.4333800794006464
Endogenous,IRF5,-0.7466157641999255
Endogenous,PCK2,-1.5776374697763018
Endogenous,EPCAM,-0.657777804050527
Endogenous,CD19,-0.426370590086431
Endogenous,GBP4,-1.4376111910148741
Endogenous,MSH6,-1.1736278517720238
Endogenous,TNFRSF11B,0.15527822547791081
Endogenous,NOTCH1,-2.2713253888947733
Endogenous,CASP9,-1.3528810232162745
Endogenous,RAD51C,-0.24519772068801338
Endogenous,HLA-DMA,-0.2577856824659444
Endogenous,SFRP1,-0.2021437374926425
Endogenous,MAGEA1,0.08979667035064554
Endogenous,ENTPD1,-1.108411432763
Endogenous,ROCK1,-1.0534975484926248
Endogenous,FCGR2A,-0.1779943127480375
Endogenous,NGFR,0.08516738326267713
Endogenous,ALDOC,-1.4836791648839744
Endogenous,CCNE1,-1.0389941316158635
Endogenous,ITGAX,-0.3812695958789498
Endogenous,BLM,-0.23515537325835728
Endogenous,MLANA,0.2801079191927352
Endogenous,FCGR1A,0.4405725913859814
Endogenous,CD47,-1.1289342450247644
Endogenous,CSF2,0.36257007938470837
Endogenous,CDH5,-1.0759933143036409
Endogenous,SLC7A5,-1.2310875168960678
Endogenous,GIMAP4,-0.9199417009483893
Endogenous,HIF1A,-0.9338370839435359
Endogenous,CDK2,-2.140814085860301
Endogenous,PDCD1,-0.33411750389527645
Endogenous,ATF3,-1.566550463607276
Endogenous,TIE1,-1.074915706777911
Endogenous,CD44,-1.4034495250036318
Endogenous,ALDOA,-0.9267472327673714
Endogenous,FAS,-0.9843183777677303
Endogenous,MRE11,-0.8255811562919912
Endogenous,IL10,-0.1783372412585124
Endogenous,BMP2,0.6708403358815617
Endogenous,BAX,-1.5939728761693912
Endogenous,EIF5AL1,0.39759236481943455
Endogenous,KIT,0.1751910568558395
Endogenous,CDK6,-1.3429660846581495
Endogenous,SPIB,-0.4854268271702417
Endogenous,PFKFB3,-0.9894693325078305
Endogenous,CXCL12,-2.4806628326127056
Endogenous,CSF3,1.3219280948873624
Endogenous,KIR2DL3,0.09404348991513799
Endogenous,CD40,-1.3189957868842044
Endogenous,IRF1,-1.5002902809469214
Endogenous,MGMT,-0.9358958094913956
Endogenous,GLUD1,-1.5346716117126118
Endogenous,IFI35,-1.3436528660420786
Endogenous,PF4,0.24691474047051698
Endogenous,GPSM3,-1.1560363503097884
Endogenous,SLC2A1,-0.8025539357937829
Endogenous,IL2,0.19068356160910999
Endogenous,SNAI1,-0.25291018856008657
Endogenous,CTNNB1,-1.1700150472753479
Endogenous,NOTCH2,-1.8816107415124719
Endogenous,NFKB2,-1.3728428731670377
Endogenous,IL33,0.04666143876412644
Endogenous,TREM2,-0.04386130735664864
Endogenous,LAMC2,0.7884958948062882
