<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01003-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,7"
"FovCount,194"
"FovCounted,192"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.38"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,APOE,NM_000041.2,1377"
"Endogenous,LILRB2,NM_001278405.1,68"
"Endogenous,PARP4,NM_006437.3,394"
"Endogenous,PFKM,NM_000289.5,72"
"Endogenous,THY1,NM_006288.3,319"
"Endogenous,SAMD9,NM_017654.3,557"
"Endogenous,TGFB1,NM_000660.4,557"
"Endogenous,CD8A,NM_001768.6,90"
"Endogenous,SELE,NM_000450.2,69"
"Endogenous,CDKN2B,NM_004936.3,77"
"Endogenous,CD5,NM_001346456.1,43"
"Endogenous,HLA-A,NM_002116.7,2879"
"Endogenous,FZD8,NM_031866.1,59"
"Endogenous,BCL2L1,NM_001191.3,392"
"Endogenous,TNFRSF9,NM_001561.5,86"
"Endogenous,XCL1/2,NM_002995.2,35"
"Endogenous,MAGEA4,NM_001011548.1,13"
"Endogenous,PMS2,NM_000535.6,230"
"Endogenous,KLRD1,NM_002262.3,69"
"Endogenous,NFATC2,NM_173091.2,200"
"Endogenous,VEGFB,NM_003377.3,186"
"Endogenous,CDC20,NM_001255.1,21"
"Endogenous,OTOA,NM_001161683.1,9"
"Endogenous,TPSAB1/B2,NM_003294.3,1530"
"Endogenous,P4HA1,NM_000917.3,156"
"Endogenous,P2RY13,NM_023914.2,70"
"Endogenous,EXO1,NM_006027.3,40"
"Endogenous,CD70,NM_001252.3,34"
"Endogenous,DDB2,NM_000107.2,145"
"Endogenous,NDUFA4L2,NM_020142.3,31"
"Endogenous,IFITM1,NM_003641.3,1253"
"Endogenous,IFNAR1,NM_000629.2,406"
"Endogenous,TREM1,NM_001242589.2,15"
"Endogenous,CXCL13,NM_006419.2,463"
"Endogenous,TWIST2,NM_001271893.3,10"
"Endogenous,HLA-DRB1,NM_002124.3,1853"
"Endogenous,FGFR1,NM_001174064.1,71"
"Endogenous,TBXAS1,NM_001061.4,269"
"Endogenous,NCR1,NM_001145457.2,21"
"Endogenous,SOX11,NM_003108.3,17"
"Endogenous,TLR2,NM_001318787.1,199"
"Endogenous,TWF1,NM_002822.4,756"
"Endogenous,CCL5,NM_002985.2,444"
"Endogenous,ITGAL,NM_002209.2,246"
"Endogenous,MYCT1,NM_025107.2,29"
"Endogenous,CD96,NM_005816.4,159"
"Endogenous,PROM1,NM_001145847.1,124"
"Endogenous,OASL,NM_003733.2,47"
"Endogenous,IFNG,NM_000619.2,49"
"Endogenous,BATF3,NM_018664.2,25"
"Endogenous,EZH2,NM_004456.4,92"
