<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,10"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.41"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,HDAC5,NM_001015053.1,110"
"Endogenous,BAMBI,NM_012342.2,897"
"Endogenous,MAGEC1,NM_005462.4,10"
"Endogenous,FYN,NM_002037.5,181"
"Endogenous,TNFSF4,NM_001297562.1,79"
"Endogenous,CD274,NM_014143.3,21"
"Endogenous,PRKACB,NM_182948.2,169"
"Endogenous,IFIT2,NM_001547.4,85"
"Endogenous,PPARG,NM_005037.5,95"
"Endogenous,PTEN,NM_000314.6,345"
"Endogenous,FOXP3,NM_014009.3,22"
"Endogenous,SREBF1,NM_001005291.1,803"
"Endogenous,CD36,NM_001001548.2,937"
"Endogenous,AXIN1,NM_181050.1,51"
"Endogenous,KLRK1,NM_007360.3,47"
"Endogenous,GBP1,NM_002053.2,140"
"Endogenous,CXCL11,NM_005409.4,124"
"Endogenous,CXCL10,NM_001565.3,621"
"Endogenous,RIPK1,NM_003804.3,345"
"Endogenous,REN,NM_000537.3,6"
"Endogenous,PRF1,NM_001083116.1,25"
"Endogenous,EIF2AK2,NM_001135652.2,733"
"Endogenous,LIF,NM_002309.4,50"
"Endogenous,BRD3,NM_007371.3,531"
"Endogenous,IGF2R,NM_000876.2,225"
"Endogenous,FPR1,NM_002029.3,120"
"Endogenous,DUSP5,NM_004419.3,134"
"Endogenous,APC,NM_001127510.2,698"
"Endogenous,HDAC3,NM_003883.3,223"
"Endogenous,CES3,NM_001185176.1,25"
"Endogenous,OAS2,NM_016817.2,815"
"Endogenous,HDAC11,NM_001330636.1,76"
"Endogenous,THBS1,NM_003246.2,6280"
"Endogenous,SLC11A1,NM_000578.3,46"
"Endogenous,MAGEA3/A6,NM_005362.3,8"
"Endogenous,ARID1A,NM_006015.4,365"
"Endogenous,CD48,NM_001778.3,47"
"Endogenous,GZMA,NM_006144.3,43"
"Endogenous,ICOSLG,NM_015259.4,137"
"Endogenous,PIK3R5,NM_014308.3,89"
"Endogenous,GZMM,NM_005317.2,13"
"Endogenous,WNT5A,NM_003392.3,84"
"Endogenous,TLR4,NR_024168.1,297"
"Endogenous,GZMB,NM_004131.4,11"
