treatment,code_class,gene,accesion_number,lower_bound_pre_count,upper_bound_pre_count,lower_bound_post_count,upper_bound_post_count,mean_pre,mean_post,count_value,log2_transformed
0,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,297,8.214319120800766
1,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,152,7.247927513443585
1,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,NA,NA
1,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,NA,NA
1,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,122,6.930737337562887
1,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,144,7.169925001442312
0,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,78,6.285402218862249
0,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,167,7.383704292474052
0,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,219,7.774787059601174
0,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,32,5
0,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,11,3.4594316186372973
1,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,NA,NA
1,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,59,5.882643049361842
1,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,52,5.700439718141092
1,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,NA,NA
1,Endogenous,EGF,NM_001178130.2,-170.5,369.5,41.5,69.5,101.4,55.7,56,5.807354922057604
0,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,NA,NA
0,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,10,3.321928094887362
0,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,11,3.4594316186372973
0,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,12,3.584962500721156
0,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,10,3.321928094887362
1,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,7,2.807354922057604
1,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,20,4.321928094887363
1,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,16,4
1,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,12,3.584962500721156
1,Endogenous,MAGEA12,NM_001166386.1,7,15,6,22,10.8,14,15,3.9068905956085187
0,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,65,6.022367813028454
0,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,85,6.409390936137702
0,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,26,4.700439718141092
0,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,20,4.321928094887363
0,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,21,4.392317422778761
1,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,27,4.754887502163468
1,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,NA,NA
1,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,21,4.392317422778761
1,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,31,4.954196310386875
1,Endogenous,IFNA1,NM_024013.1,-45,131,21,37,43.4,27.2,30,4.906890595608519
0,Endogenous,TGFB3,NM_001329938.1,-1401,2535,-56,472,517.2,195.5,75,6.22881869049588
