<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01011-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,9"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.40"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,SELL,NM_000655.4,32"
"Endogenous,TNFSF10,NM_003810.3,475"
"Endogenous,IL12RB2,NM_001319233.1,24"
"Endogenous,CXCL9,NM_002416.2,135"
"Endogenous,TRAT1,NM_016388.3,32"
"Endogenous,STC1,NM_003155.2,46"
"Endogenous,IL2RB,NM_000878.2,55"
"Endogenous,LILRB4,NM_001278426.3,79"
"Endogenous,SOX2,NM_003106.2,22"
"Endogenous,HCK,NM_001172129.1,92"
"Endogenous,WNT2B,NM_001291880.1,29"
"Endogenous,IL1B,NM_000576.2,18"
"Endogenous,TLR1,NM_003263.3,98"
"Endogenous,CCL22,NM_002990.3,18"
"Endogenous,ICAM2,NM_000873.3,60"
"Endogenous,MAP3K12,NM_006301.3,51"
"Endogenous,JAG1,NM_000214.2,662"
"Endogenous,CCL3/L1,NM_021006.5,70"
"Endogenous,SOCS1,NM_003745.1,33"
"Endogenous,BCL2,NM_000633.2,210"
"Endogenous,MAP3K8,NM_001244134.1,184"
"Endogenous,MMP1,NM_002421.2,40"
"Endogenous,CMKLR1,NM_004072.2,121"
"Endogenous,TNFRSF17,NM_001192.2,51"
"Endogenous,TLR8,NM_138636.4,47"
"Endogenous,TPM1,NM_000366.5,427"
"Endogenous,CXorf36,NM_024689.2,191"
"Endogenous,NLRP3,NM_001079821.2,32"
"Endogenous,DEFB134,NM_001302695.1,20"
"Endogenous,HLA-DQA2,NM_020056.4,797"
"Endogenous,CX3CR1,NM_001171171.1,64"
"Endogenous,APLNR,NM_005161.4,45"
"Endogenous,MXI1,NM_001008541.1,115"
"Endogenous,FZD9,NM_003508.2,16"
"Endogenous,COL4A5,NM_000495.4,73"
"Endogenous,FCAR,NM_133278.2,21"
"Endogenous,BRCA2,NM_000059.3,109"
"Endogenous,SFRP4,NM_003014.2,1984"
"Endogenous,TLR3,NM_003265.2,68"
"Endogenous,IL2RG,NM_000206.1,134"
"Endogenous,CD84,NM_001184879.1,171"
"Endogenous,HLA-DPA1,NM_033554.2,1211"
"Endogenous,RBL2,NM_001323611.1,1228"
"Endogenous,CCL18,NM_002988.3,152"
"Endogenous,IRF3,NM_001197122.1,149"
"Endogenous,TNFRSF8,NM_001243.3,7"
"Endogenous,KIR3DL2,NM_006737.2,7"
"Endogenous,TNFSF13,NM_003808.3,55"
"Endogenous,CLECL1,NM_172004.3,58"
"Endogenous,TNFRSF10B,NM_003842.3,74"
"Endogenous,MAGEC2,NM_016249.3,20"
"Endogenous,CDKN2A,NM_000077.4,107"
"Endogenous,ADM,NM_001124.2,58"
"Endogenous,PNOC,NM_001284244.1,49"
"Endogenous,CD247,NM_198053.2,42"
"Endogenous,PTPRC,NM_080921.3,124"
"Endogenous,OAS3,NM_006187.3,205"
"Endogenous,LAG3,NM_002286.5,73"
"Endogenous,FOSL1,NM_005438.3,110"
"Endogenous,EOMES,NM_001278182.1,60"
"Endogenous,IL10RA,NM_001558.2,167"
"Endogenous,WDR76,NM_024908.3,57"
"Endogenous,GPC4,NM_001448.2,90"
"Endogenous,SLAMF7,NM_021181.3,70"
"Endogenous,RSAD2,NM_080657.4,230"
"Endogenous,TLR5,NM_003268.5,127"
"Endogenous,VEGFA,NM_001171623.1,216"
"Endogenous,COL5A1,NM_000093.4,635"
"Endogenous,CD3D,NM_000732.4,115"
"Endogenous,FBP1,NM_001127628.1,1178"
"Endogenous,ERO1A,NM_014584.2,548"
"Endogenous,CCL21,NM_002989.2,138"
"Endogenous,E2F3,NM_001243076.2,239"
"Endogenous,LDHA,NM_001135239.1,1245"
"Endogenous,MS4A1,NM_021950.3,82"
"Endogenous,CD69,NM_001781.2,60"
"Endogenous,SERPINB5,NM_002639.4,77"
"Endogenous,FAP,NM_004460.2,429"
"Endogenous,ITGA2,NM_002203.3,108"
"Endogenous,SIGLEC5,NM_003830.3,20"
"Endogenous,SIRPB2,NM_001134836.1,34"
"Endogenous,EPM2AIP1,NM_014805.3,385"
"Endogenous,FGF18,NM_003862.2,51"
"Endogenous,HRAS,NM_005343.3,178"
"Endogenous,CCND1,NM_053056.2,914"
"Endogenous,LAMB3,NM_000228.2,177"
"Endogenous,ID4,NM_001546.3,140"
"Endogenous,CCL4,NM_002984.2,48"
"Endogenous,GZMH,NM_033423.3,21"
"Endogenous,API5,NM_001142930.1,687"
"Endogenous,PTGER4,NM_000958.2,71"
"Endogenous,ITGB8,NM_002214.2,214"
"Endogenous,TNKS,NM_003747.2,158"
"Endogenous,B2M,NM_004048.2,5651"
"Endogenous,TP53,NM_000546.2,224"
"Endogenous,MAGEB2,NM_002364.4,20"
"Endogenous,LYZ,NM_000239.2,1866"
"Endogenous,NCAM1,NM_000615.6,39"
"Endogenous,TCL1A,NM_001098725.1,14"
"Endogenous,HDC,NM_002112.3,24"
"Endogenous,CD27,NM_001242.4,77"
"Endogenous,SBNO2,NM_001100122.1,154"
"Endogenous,PECAM1,NM_000442.4,877"
"Endogenous,SERPINH1,NM_001207014.1,172"
"Endogenous,SPP1,NM_000582.2,1148"
"Endogenous,EGFR,NM_005228.3,112"
"Endogenous,CASP8,NM_001228.4,35"
"Endogenous,CCNA1,NM_001111045.1,17"
"Endogenous,TNFAIP3,NM_001270508.1,61"
"Endogenous,CDC25C,NM_001790.4,22"
"Endogenous,CXCR6,NM_006564.1,42"
"Endogenous,DLL1,NM_005618.3,60"
"Endogenous,OAS1,NM_001032409.1,238"
"Endogenous,HLA-DQB1,NM_002123.3,11"
"Endogenous,ROBO4,NM_019055.5,46"
"Endogenous,NFKB1,NM_003998.3,353"
"Endogenous,IFI27,NM_005532.3,2349"
"Endogenous,HLA-DMB,NM_002118.3,458"
"Endogenous,CDKN1C,NM_000076.2,203"
"Endogenous,CEP55,NM_018131.3,29"
"Endogenous,ARG1,NM_000045.3,17"
"Endogenous,PLOD2,NM_182943.2,252"
"Endogenous,LAIR1,NM_001289023.2,51"
"Endogenous,SHC2,NM_012435.2,231"
"Endogenous,STAT3,NM_003150.3,1018"
"Endogenous,CD45RO,NM_080921.3,274"
"Endogenous,CD2,NM_001767.3,112"
"Endogenous,IL7R,NM_002185.3,133"
"Endogenous,FLNB,NM_001164319.1,976"
"Endogenous,PSMB5,NM_001130725.1,531"
"Endogenous,SLC1A5,NM_001145144.1,576"
"Endogenous,RICTOR,NM_001285439.1,404"
"Endogenous,ZAP70,NM_001079.3,62"
"Endogenous,TNFAIP6,NM_007115.3,135"
"Endogenous,BTLA,NM_001085357.1,20"
"Endogenous,RELA,NM_021975.3,173"
"Endogenous,MMP7,NM_002423.3,1678"
"Endogenous,TCF3,NM_003200.3,184"
"Endogenous,IRF8,NM_002163.2,117"
"Endogenous,NOS2,NM_000625.4,10"
"Endogenous,A2M,NM_000014.4,4351"
"Endogenous,CCL20,NM_001130046.1,24"
"Endogenous,MKI67,NM_002417.2,168"
