code_class,name,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5
Negative,NEG_F(0),ERCC_00126.1,39,39,19,17,39,38,29,26,41,36
Negative,NEG_B(0),ERCC_00041.1,20,17,10,18,20,35,32,33,21,32
Housekeeping,UBB,NM_018955.3,3440,4712,13464,15704,3440,3538,5928,3098,7791,4718
Housekeeping,PUM1,NM_001020658.1,615,750,3278,1478,615,658,451,533,667,653
Housekeeping,TLK2,NM_006852.3,144,418,561,533,144,130,135,517,486,151
Housekeeping,DNAJC14,NM_032364.5,201,244,1057,972,201,110,112,143,191,153
Housekeeping,SF3A1,NM_005877.4,315,313,1616,1190,315,260,227,327,267,313
Housekeeping,POLR2A,NM_000937.2,460,550,3813,2452,460,570,342,449,596,572
Housekeeping,SDHA,NM_004168.3,339,570,2417,2032,339,467,286,425,365,481
Housekeeping,STK11IP,NM_052902.2,103,100,470,359,103,80,79,120,120,95
Housekeeping,NRDE2,NM_017970.3,179,336,589,369,179,171,159,134,237,220
Housekeeping,TBP,NM_001172085.1,117,230,737,411,117,211,195,117,321,254
Housekeeping,OAZ1,NM_004152.2,2242,1825,7198,8339,2242,1315,2365,1823,1643,2122
Housekeeping,TBC1D10B,NM_015527.3,92,86,578,594,92,111,54,115,97,98
Housekeeping,GUSB,NM_000181.1,146,177,979,638,146,146,224,149,166,177
Housekeeping,PSMC4,NM_006503.2,209,359,1253,1265,209,140,205,205,374,216
Housekeeping,TFRC,NM_003234.1,489,142,971,389,489,248,207,184,258,184
Housekeeping,ABCF1,NM_001090.2,170,258,901,870,170,163,187,162,289,194
Housekeeping,TMUB2,NM_177441.2,82,172,628,527,82,125,55,88,81,121
Housekeeping,MRPL19,NM_014763.3,232,223,771,675,232,211,200,169,290,280
Housekeeping,G6PD,NM_000402.4,92,199,336,342,92,61,48,87,83,71
Housekeeping,ERCC3,NM_000122.1,454,403,1321,1163,454,449,423,578,547,586
