code_class,name,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5
Endogenous,P2RY13,NM_023914.2,9,33,290,132,9,96,70,37,56,52
Endogenous,EXO1,NM_006027.3,37,20,107,321,37,25,40,42,54,36
Endogenous,CD70,NM_001252.3,6,20,16,95,6,23,34,8,17,45
Endogenous,DDB2,NM_000107.2,166,137,637,705,166,153,145,145,143,187
Endogenous,NDUFA4L2,NM_020142.3,26,45,131,137,26,26,31,25,57,30
Endogenous,IFITM1,NM_003641.3,3082,426,5458,12843,3082,929,1253,911,1325,1606
Endogenous,IFNAR1,NM_000629.2,220,378,762,746,220,255,406,511,375,329
Endogenous,TREM1,NM_001242589.2,44,13,33,46,44,23,15,23,12,28
Endogenous,CXCL13,NM_006419.2,66,54,6373,330,66,20,463,39,201,25
Endogenous,TWIST2,NM_001271893.3,6,9,14,15,6,8,10,6,6,10
Endogenous,HLA-DRB1,NM_002124.3,572,309,3846,5813,572,1867,1853,1187,765,1407
Endogenous,FGFR1,NM_001174064.1,286,248,1890,995,286,92,71,62,160,135
Endogenous,TBXAS1,NM_001061.4,40,121,463,428,40,212,269,196,193,210
Endogenous,NCR1,NM_001145457.2,5,9,26,31,5,12,21,17,16,21
Endogenous,SOX11,NM_003108.3,25,17,16,118,25,39,17,16,33,61
Endogenous,TLR2,NM_001318787.1,129,82,480,433,129,253,199,236,171,224
Endogenous,TWF1,NM_002822.4,541,753,2583,2351,541,620,756,524,786,735
Endogenous,CCL5,NM_002985.2,64,47,301,421,64,65,444,91,147,124
Endogenous,ITGAL,NM_002209.2,22,89,248,320,22,76,246,48,75,72
Endogenous,MYCT1,NM_025107.2,23,36,115,65,23,21,29,41,58,44
Endogenous,CD96,NM_005816.4,13,17,53,113,13,33,159,36,68,47
Endogenous,PROM1,NM_001145847.1,20,12,273,24,20,171,124,18,119,50
Endogenous,OASL,NM_003733.2,158,15,86,481,158,25,47,33,33,53
Endogenous,IFNG,NM_000619.2,11,14,17,20,11,19,49,12,13,14
Endogenous,BATF3,NM_018664.2,23,18,137,112,23,39,25,30,30,39
Endogenous,EZH2,NM_004456.4,107,27,170,388,107,52,92,45,64,79
Endogenous,IRF5,NM_002200.3,34,24,92,225,34,34,34,23,40,38
Endogenous,PCK2,NM_001018073.2,137,184,658,746,137,106,128,139,144,150
Endogenous,EPCAM,NM_002354.2,498,438,1202,783,498,165,239,583,482,304
Endogenous,CD19,NM_001770.4,19,32,31,54,19,17,73,30,40,33
Endogenous,GBP4,NM_052941.4,93,77,228,277,93,89,458,145,166,120
Endogenous,MSH6,NM_000179.2,72,76,298,241,72,67,69,58,105,93
Endogenous,TNFRSF11B,NM_002546.3,30,26,59,37,30,65,16,12,20,23
Endogenous,NOTCH1,NM_017617.3,54,71,885,626,54,93,93,81,109,108
Endogenous,CASP9,XM_011542270.1,40,43,264,157,40,66,48,38,72,52
Endogenous,RAD51C,NM_058216.2,45,125,222,211,45,50,40,93,101,50
Endogenous,HLA-DMA,NM_006120.3,333,350,1137,1405,333,667,1068,582,579,706
Endogenous,SFRP1,NM_003012.3,29,78,7367,144,29,165,39,46,307,182
Endogenous,MAGEA1,NM_004988.4,23,14,30,28,23,20,21,22,22,32
Endogenous,ENTPD1,NM_001098175.1,107,195,1273,664,107,304,448,289,431,396
Endogenous,ROCK1,NM_005406.2,94,135,540,329,94,123,119,156,162,126
Endogenous,FCGR2A,NM_021642.3,184,288,741,955,184,744,846,707,423,535
Endogenous,NGFR,NM_002507.3,23,44,1472,54,23,67,31,83,104,66
Endogenous,ALDOC,NM_005165.2,419,473,632,147,419,93,40,190,546,89
Endogenous,CCNE1,NM_001238.1,59,22,117,212,59,31,30,45,78,48
Endogenous,ITGAX,NM_000887.4,115,104,460,897,115,295,216,116,256,289
Endogenous,BLM,NM_000057.3,60,52,48,158,60,33,32,35,82,47
Endogenous,MLANA,NM_005511.1,20,18,32,32,20,15,10,11,13,26
Endogenous,FCGR1A,NM_000566.3,49,81,107,268,49,118,128,120,69,121
Endogenous,CD47,NM_001777.3,925,409,2127,2109,925,489,504,434,454,559
Endogenous,CSF2,NM_000758.3,13,19,14,14,13,15,15,19,22,23
Endogenous,CDH5,NM_001795.3,31,85,382,273,31,71,85,75,137,102
Endogenous,SLC7A5,NM_003486.6,316,174,355,517,316,67,155,42,90,76
Endogenous,GIMAP4,NM_018326.2,103,177,764,703,103,219,510,348,334,286
Endogenous,HIF1A,NM_181054.2,705,384,1247,1620,705,586,836,295,1178,814
Endogenous,CDK2,NM_001290230.1,188,98,1269,1261,188,149,138,111,172,196
Endogenous,PDCD1,NM_005018.1,12,14,19,30,12,20,30,18,22,14
Endogenous,ATF3,NM_001674.3,66,31,171,277,66,35,53,48,38,33
Endogenous,TIE1,NM_005424.4,40,81,327,342,40,45,72,80,137,109
Endogenous,CD44,NM_001001392.1,630,188,1581,3640,630,513,358,126,221,523
Endogenous,ALDOA,NM_000034.3,4299,4732,13281,8295,4299,1698,2312,1657,2557,1484
Endogenous,FAS,NM_000043.3,35,14,127,126,35,44,46,25,54,65
Endogenous,MRE11,NM_001330347.1,156,188,727,545,156,250,200,111,227,287
Endogenous,IL10,NM_000572.2,14,12,24,55,14,14,23,16,8,19
Endogenous,BMP2,NM_001200.3,10,240,92,64,10,29,23,28,42,38
Endogenous,BAX,NM_004324.3,291,159,902,1184,291,183,255,213,314,275
Endogenous,EIF5AL1,NM_001099692.1,5,14,19,20,5,13,13,14,10,8
Endogenous,KIT,NM_000222.2,16,36,554,364,16,160,182,40,139,292
Endogenous,CDK6,NM_001145306.1,27,35,392,260,27,68,70,88,65,92
Endogenous,SPIB,NM_003121.3,10,10,27,40,10,16,21,10,15,16
Endogenous,PFKFB3,NM_004566.3,36,33,1441,291,36,64,44,38,45,85
Endogenous,CXCL12,NM_199168.3,18,59,1541,482,18,136,111,101,131,94
Endogenous,CSF3,NM_000759.3,7,10,14,9,7,15,2,16,7,15
Endogenous,KIR2DL3,NM_015868.2,17,22,25,21,17,24,19,19,20,17
Endogenous,CD40,NM_001250.5,40,67,382,249,40,83,109,67,97,98
Endogenous,IRF1,NM_002198.2,223,158,634,578,223,258,729,202,283,243
Endogenous,MGMT,NM_002412.3,183,299,779,733,183,244,192,232,195,228
Endogenous,GLUD1,NM_005271.2,334,648,4005,2944,334,723,585,670,758,582
Endogenous,IFI35,NM_005533.4,240,192,484,644,240,100,176,107,176,181
Endogenous,PF4,NM_002619.3,14,22,20,15,14,12,18,18,11,22
Endogenous,GPSM3,NM_001276501.1,39,69,274,312,39,92,164,88,184,88
Endogenous,SLC2A1,NM_006516.2,72,42,147,80,72,43,27,55,32,32
Endogenous,IL2,NM_000586.2,15,21,23,27,15,17,30,22,11,18
Endogenous,SNAI1,NM_005985.3,60,62,129,178,60,73,53,69,80,82
Endogenous,CTNNB1,NM_001098209.1,1955,1539,12692,8136,1955,2889,2092,2286,2733,3255
Endogenous,NOTCH2,NM_024408.3,351,206,4075,1689,351,555,423,394,468,589
Endogenous,NFKB2,NM_001077494.3,124,77,909,1193,124,171,132,127,156,135
Endogenous,IL33,NM_033439.3,18,53,615,89,18,33,40,66,111,60
Endogenous,TREM2,NM_018965.3,64,98,550,678,64,237,194,301,207,349
Endogenous,LAMC2,NM_005562.2,43,30,950,163,43,225,19,277,165,46
Endogenous,AQP9,NM_001320635.1,45,24,117,118,45,26,23,75,33,31
Endogenous,PRKCA,NM_002737.2,17,30,193,112,17,54,30,104,83,47
Endogenous,TSLP,NM_033035.4,15,17,51,22,15,25,17,23,17,26
Endogenous,HLA-DOB,NM_002120.3,9,33,28,34,9,27,180,11,53,34
Endogenous,ANGPTL4,NM_001039667.2,93,10,44,33,93,20,16,22,15,44
Endogenous,TNFRSF25,NM_148970.1,43,94,492,261,43,136,65,81,123,70
Endogenous,MS4A4A,NM_001243266.1,84,124,375,654,84,158,559,499,251,326
Endogenous,CLEC5A,NM_013252.2,39,29,31,139,39,149,17,74,34,80
Endogenous,ITGAM,NM_000632.3,19,15,97,153,19,42,40,39,31,37
Endogenous,MMP9,NM_004994.2,57,77,812,183,57,25,53,27,220,28
Endogenous,CD7,NM_006137.6,14,16,33,54,14,12,19,29,13,24
Endogenous,VHL,NM_198156.1,70,73,429,350,70,85,75,55,61,109
Endogenous,OLFML2B,NM_015441.1,45,59,223,607,45,154,135,110,86,341
Endogenous,IL6,NM_000600.3,24,21,51,25,24,14,24,22,19,16
Endogenous,TNFRSF1A,NM_001065.2,330,342,2032,1572,330,477,235,232,405,516
Endogenous,DKK1,NM_012242.2,14,12,55,14,14,22,12,22,28,12
Endogenous,FANCA,NM_001018112.1,38,25,92,172,38,15,13,27,37,33
Endogenous,TNF,NM_000594.3,58,38,123,326,58,46,72,34,39,65
Endogenous,LTB,NM_002341.1,18,23,111,215,18,42,76,25,65,38
Endogenous,PPARGC1B,NM_001172699.1,25,41,155,115,25,38,29,33,35,30
Endogenous,RPS6KB1,NM_001272042.1,133,819,583,442,133,189,113,895,787,166
Endogenous,CD38,NM_001775.2,24,20,28,59,24,16,171,7,60,19
Endogenous,DTX3L,NM_138287.3,598,351,1092,1228,598,303,527,401,533,569
Endogenous,TMEM173,NM_198282.1,279,227,904,734,279,338,273,309,287,249
Endogenous,NEIL1,NM_024608.2,66,51,432,351,66,78,61,45,53,109
Endogenous,HELLS,NM_001289067.1,168,65,405,530,168,61,60,72,167,110
Endogenous,TGFBR1,NM_001130916.2,206,386,2568,1689,206,879,594,551,426,850
Endogenous,MB21D1,NM_138441.2,45,84,192,224,45,52,197,70,60,91
Endogenous,CCR2,NM_001123041.2,17,12,120,91,17,31,228,30,61,46
Endogenous,MSH2,NM_000251.1,227,193,908,891,227,306,198,270,452,440
Endogenous,RAD51,NM_133487.3,26,9,47,120,26,11,27,9,35,16
