code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,NOTCH2,NM_024408.3,351,206,4075,NA,2716,555,423,394,468,589,101.5,881.5,1606.6,436
Endogenous,NFKB2,NM_001077494.3,124,77,909,NA,NA,171,132,127,156,135,61,237,330.2,127.5
Endogenous,IL33,NM_033439.3,18,53,NA,NA,62,NA,40,66,111,60,33.5,85.5,57.8,59.7
Endogenous,TREM2,NM_018965.3,64,98,550,NA,NA,237,194,301,207,349,69,517,253.8,246.2
Endogenous,LAMC2,NM_005562.2,43,30,NA,163,116,225,19,277,165,46,-222.5,493.5,85.8,148.2
Endogenous,AQP9,NM_001320635.1,45,24,NA,118,15,26,23,75,33,31,-47.5,148.5,29,54.8
Endogenous,PRKCA,NM_002737.2,17,30,193,112,113,54,30,104,83,47,-38.5,189.5,87.2,69.4
Endogenous,TSLP,NM_033035.4,15,NA,NA,22,16,25,17,23,17,26,17.5,29.5,16.2,24
Endogenous,HLA-DOB,NM_002120.3,9,33,28,34,61,27,NA,NA,53,34,16.5,44.5,37.8,32
Endogenous,ANGPTL4,NM_001039667.2,93,10,44,33,142,20,16,22,15,44,0.5,52.5,62,25.8
Endogenous,TNFRSF25,NM_148970.1,43,94,492,NA,426,136,65,81,123,70,-1.5,218.5,229.8,95.2
Endogenous,MS4A4A,NM_001243266.1,84,124,375,654,540,158,559,499,251,326,-353.5,1010.5,361.8,352.2
Endogenous,CLEC5A,NM_013252.2,39,29,31,139,NA,149,NA,74,34,80,-23.5,236.5,34.7,94.2
Endogenous,ITGAM,NM_000632.3,19,NA,97,NA,NA,42,40,39,31,37,29.5,49.5,46.8,39.3
Endogenous,MMP9,NM_004994.2,57,77,NA,NA,157,25,53,27,220,28,-48,152,121.8,39.2
Endogenous,CD7,NM_006137.6,14,16,33,NA,NA,12,19,29,13,24,-3.5,48.5,19.8,20.2
Endogenous,VHL,NM_198156.1,70,73,429,NA,413,85,75,55,61,109,19,163,209.6,80.5
Endogenous,OLFML2B,NM_015441.1,45,59,223,607,343,154,135,110,86,341,-236.5,687.5,166.4,254.2
Endogenous,IL6,NM_000600.3,24,21,NA,25,29,14,24,22,19,16,7,31,24,19.6
Endogenous,TNFRSF1A,NM_001065.2,330,342,2032,NA,1467,477,235,232,405,516,81,777,893.8,391.8
Endogenous,DKK1,NM_012242.2,14,12,NA,14,18,22,12,22,28,12,-3,37,18,16.4
Endogenous,FANCA,NM_001018112.1,38,25,92,NA,120,15,13,27,37,33,13,45,60,25
Endogenous,TNF,NM_000594.3,58,38,123,NA,NA,46,72,34,39,65,-2.5,105.5,73,45.8
Endogenous,LTB,NM_002341.1,18,23,111,NA,NA,42,76,25,65,38,-0.5,67.5,67.5,32
Endogenous,PPARGC1B,NM_001172699.1,25,41,155,NA,171,38,29,33,35,30,21,53,83,35.5
Endogenous,RPS6KB1,NM_001272042.1,133,819,583,442,448,189,113,895,787,166,-756,1764,412.8,502.2
Endogenous,CD38,NM_001775.2,24,20,28,NA,53,16,NA,NA,60,19,10,26,41.2,18.3
Endogenous,DTX3L,NM_138287.3,598,351,1092,NA,NA,303,527,401,533,569,24,896,687.5,406
Endogenous,TMEM173,NM_198282.1,279,227,904,NA,1154,338,273,309,287,249,115.5,471.5,579.4,280.8
Endogenous,NEIL1,NM_024608.2,66,51,432,NA,406,78,61,45,53,109,-36,196,203.6,70.8
Endogenous,HELLS,NM_001289067.1,168,65,405,NA,478,61,60,72,167,110,-2.5,177.5,255.6,77
Endogenous,TGFBR1,NM_001130916.2,206,386,2568,NA,2081,879,594,551,426,850,59,1371,1175,666.5
Endogenous,MB21D1,NM_138441.2,45,84,192,NA,305,52,197,70,60,91,38.5,122.5,159.8,74.2
Endogenous,CCR2,NM_001123041.2,17,12,120,NA,68,31,NA,30,61,46,6,70,66.5,29.8
Endogenous,MSH2,NM_000251.1,227,193,908,NA,1056,306,198,270,452,440,15,695,568.2,302.2
Endogenous,RAD51,NM_133487.3,26,9,47,NA,58,11,27,9,35,16,-1.5,26.5,38.6,11.2
Endogenous,TNFRSF18,NM_148901.1,26,23,53,NA,50,31,31,20,51,39,-1,63,42.2,28.2
Endogenous,FCGR3A/B,NM_000570.4,325,145,441,NA,NA,381,351,318,NA,729,-298.5,1345.5,372.3,393.2
Endogenous,STAT1,NM_007315.3,2167,456,3352,NA,4271,596,2080,895,1264,1251,-386.5,2233.5,2626.8,799.5
Endogenous,CTSS,NM_004079.3,430,385,1447,NA,2801,960,3944,1218,2075,1687,-130.5,2777.5,2139.4,1062.5
Endogenous,PDK1,NM_002610.3,435,252,348,248,382,128,NA,187,NA,142,-17,407,388.3,191.4
Endogenous,ITGAV,NM_001144999.2,612,1041,2623,NA,3345,1271,873,2022,979,1529,144.5,3148.5,1686.4,1465.8
Endogenous,ANGPT1,NM_001199859.1,21,53,NA,99,53,29,30,43,40,76,-6.5,125.5,36,60
Endogenous,BCL6B,NM_181844.3,15,43,114,NA,144,28,21,40,51,37,28,52,69,37
Endogenous,CDH2,NM_001792.3,48,35,45,NA,NA,41,38,42,51,57,17,81,45.5,43.8
Endogenous,CSF3R,NM_000760.3,166,124,403,NA,422,140,88,92,115,101,42.5,198.5,238.8,114.2
Endogenous,RELB,NM_006509.3,82,NA,272,NA,481,94,109,79,83,94,56.5,116.5,205.4,89
Endogenous,CXCL16,NM_001100812.1,109,124,756,NA,976,292,275,173,211,280,-5.5,470.5,465.4,217.2
Endogenous,IL6R,NM_000565.3,27,71,193,NA,278,52,78,36,58,37,-14,122,126.8,49
Endogenous,PDGFA,NM_033023.4,35,47,NA,NA,140,57,47,26,66,38,9.5,85.5,72,42
Endogenous,PIK3R1,NM_001242466.1,119,173,NA,NA,951,233,153,253,247,299,134,398,367.5,239.5
Endogenous,HK1,NM_000188.2,499,292,2330,NA,2143,222,203,247,276,225,124.5,392.5,1090.2,246.5
Endogenous,AXL,NM_001699.4,65,75,343,NA,485,154,93,119,103,194,6.5,306.5,217.8,135.5
Endogenous,HK2,NM_000189.4,658,329,300,NA,525,66,110,412,541,129,-295.5,836.5,426.8,234
Endogenous,PDGFRB,NM_002609.3,347,409,3181,NA,1977,571,309,387,695,865,-275,1549,1301.8,558
Endogenous,FADD,NM_003824.3,92,489,607,NA,509,563,87,NA,132,488,375.5,675.5,285.4,513.3
Endogenous,CD74,NM_001025159.2,2455,2542,15993,NA,NA,6166,9687,3755,4256,5368,138.5,9782.5,8097.8,4457.8
Endogenous,RIPK2,NM_003821.5,124,176,486,474,416,138,172,299,137,157,-56,512,267,248.8
Endogenous,CD45RB,ENST00000367367.1,45,NA,155,NA,NA,80,158,81,86,96,56,120,111,85.7
Endogenous,BAD,NM_004322.3,86,67,765,NA,591,52,52,111,83,68,1,177,315.4,74.5
Endogenous,PKM,NM_001206796.2,5714,2857,8733,NA,6035,1913,1167,1422,2512,2884,456.5,4340.5,4832.2,2269
Endogenous,KLRB1,NM_002258.2,15,20,67,NA,76,28,86,37,51,29,14.5,50.5,59,28.5
Endogenous,ADORA2A,NM_000675.5,128,33,66,NA,NA,26,38,23,41,36,11,51,68.2,29.5
Endogenous,IFIT1,NM_001270930.1,NA,116,693,NA,743,107,60,215,469,446,-379,941,491.2,221
Endogenous,UBE2T,NM_014176.1,46,26,102,NA,146,33,41,38,46,40,22.5,50.5,76.2,34.2
Endogenous,RPL23,NM_000978.3,3210,5939,16936,9301,12551,3335,3322,2815,3960,3545,-571,9845,7995.8,4987
Endogenous,ARG2,NM_001172.3,32,70,86,81,86,54,28,24,53,28,-35,133,57,51.4
Endogenous,TGFBR2,NM_001024847.2,114,238,NA,672,719,287,450,448,465,487,-13,787,437,426.4
Endogenous,CRABP2,NM_001199723.1,2655,1783,3664,NA,NA,2236,975,791,2513,2526,668.5,3640.5,2451.8,1834
Endogenous,BLK,NM_001330465.1,18,18,NA,12,16,20,NA,14,18,19,6.5,26.5,17.3,16.6
Endogenous,CCL14,NM_032962.4,41,416,NA,243,435,161,247,542,500,357,-16.5,675.5,305.8,343.8
Endogenous,CCNB1,NM_031966.2,421,135,309,NA,667,95,118,70,204,227,-103,425,343.8,131.8
Endogenous,STAT2,NM_005419.2,998,514,3581,NA,3599,819,874,752,1076,1316,-94,2162,2025.6,850.2
Endogenous,IKBKB,NM_001190720.2,238,260,601,483,811,158,112,98,132,109,-117.5,486.5,378.8,221.6
Endogenous,ZEB2,NM_001171653.1,214,283,1391,1165,1136,316,548,435,571,663,-204.5,1183.5,772,572.4
Endogenous,LRRC32,NM_005512.2,85,142,317,NA,NA,150,189,168,222,339,-133.5,622.5,203.2,199.8
Endogenous,IL22RA1,NM_021258.2,33,33,NA,NA,NA,32,26,NA,33,36,26,42,30.7,33.7
Endogenous,ELOB,NM_007108.2,42,54,109,NA,167,53,44,54,53,69,31.5,91.5,83,57.5
Endogenous,ITGA1,NM_181501.1,70,92,NA,NA,213,61,82,73,149,127,-8,208,128.5,88.2
Endogenous,IL24,NM_001185158.1,20,20,20,NA,NA,28,20,26,NA,22,13,37,20,24
Endogenous,PVRIG,NM_024070.3,49,NA,305,NA,473,53,72,58,46,58,45.5,65.5,189,56.3
Endogenous,RB1,NM_000321.2,252,229,931,NA,854,352,454,269,396,418,45.5,641.5,577.4,317
Endogenous,SRP54,NM_001146282.1,170,175,468,NA,600,NA,196,196,244,216,113.5,277.5,335.6,195.7
Endogenous,ICAM3,NM_002162.3,90,NA,311,NA,531,124,276,113,130,134,81.5,165.5,267.6,123.7
Endogenous,CCR5,NM_000579.3,49,44,116,NA,262,72,252,55,67,70,29.5,97.5,149.2,60.2
Endogenous,CTLA4,NM_001037631.2,25,19,22,NA,151,30,116,25,43,24,15,39,71.4,24.5
Endogenous,GLS,NM_014905.4,68,69,692,NA,602,105,77,51,62,79,15,159,300.2,76
Endogenous,ITGAE,NM_002208.4,120,219,456,NA,380,175,298,158,234,251,61,365,297.6,200.8
Endogenous,MET,NM_000245.2,110,96,NA,85,59,102,59,NA,181,87,68.5,112.5,102.2,92.5
Endogenous,WNT3A,NM_033131.3,18,30,17,22,NA,29,15,27,NA,13,11.5,39.5,16.7,24.2
Endogenous,TYMP,NM_001113755.2,752,388,2964,NA,3311,421,638,647,445,932,-345.5,1698.5,1622,597
Endogenous,IFI16,NM_001206567.1,207,169,1022,897,714,345,410,328,392,579,-48.5,955.5,549,463.6
Endogenous,PVR,NM_001135768.2,68,77,353,NA,172,40,24,26,39,51,-15.5,132.5,131.2,48.5
Endogenous,P4HA2,NM_001017973.1,157,314,209,315,NA,124,101,78,144,179,-161,599,152.8,202
Endogenous,BRIP1,NM_032043.2,71,49,125,317,208,54,46,187,189,95,-145.5,386.5,127.8,140.4
Endogenous,ESR1,NM_000125.2,23,1154,3720,NA,3282,182,863,754,1100,651,-103.5,1908.5,1797.6,685.2
Endogenous,DAB2,NM_001244871.1,120,129,711,NA,729,234,226,228,220,326,81,473,401.2,229.2
Endogenous,DUSP1,NM_004417.3,111,719,NA,740,589,164,241,486,291,228,-508.5,1455.5,308,467.4
Endogenous,CD8B,NM_172213.2,30,31,93,NA,123,35,76,30,31,50,2.5,78.5,70.6,36.5
Endogenous,ACVR1C,NM_145259.2,29,33,47,35,NA,28,33,49,32,60,9,73,35.2,41
Endogenous,IL15,NM_000585.4,25,26,42,30,90,38,61,50,37,28,13,53,51,34.4
Endogenous,KIR3DL1,NM_001322168.1,19,21,22,NA,15,NA,28,21,24,18,13.5,25.5,21.6,20
Endogenous,CDH1,NM_004360.3,3142,758,7733,NA,6465,276,1355,3140,4475,3540,-3415,7713,4634,1928.5
Endogenous,HES1,NM_005524.2,267,152,2566,NA,1539,343,267,65,449,404,-226,782,1017.6,241
Endogenous,IHH,NM_002181.2,18,28,20,20,24,17,25,26,NA,16,3.5,39.5,21.8,21.4
Endogenous,CCL19,NM_006274.2,24,35,110,NA,181,41,52,24,103,70,-17.5,122.5,94,42.5
Endogenous,C2,NM_000063.5,107,44,82,NA,NA,40,130,72,45,66,2,114,91,55.5
Endogenous,TLR7,NM_016562.3,NA,29,37,78,NA,34,46,39,40,53,5.5,81.5,41,46.6
Endogenous,IL2RA,NM_000417.2,19,14,31,37,42,34,36,22,28,34,4,52,31.2,28.2
Endogenous,PRKAA2,NM_006252.3,27,62,187,40,164,60,22,31,45,29,-12.5,103.5,89,44.4
Endogenous,COL11A2,NM_001163771.1,13,14,NA,NA,9,17,17,NA,21,17,9.5,21.5,15,16
Endogenous,TNFRSF10D,NM_003840.4,22,NA,81,36,62,36,28,37,31,34,31,39,44.8,35.8
Endogenous,SIGLEC8,NM_014442.2,13,15,22,54,34,13,35,44,27,32,-28.5,87.5,26.2,31.6
Endogenous,PC,NM_000920.3,103,108,NA,NA,294,NA,44,101,118,103,90.5,118.5,139.8,104
Endogenous,IL17A,NM_002190.2,24,20,NA,NA,NA,26,22,24,20,28,18,34,22,24.5
Endogenous,GLI1,NM_005269.2,19,18,NA,NA,33,35,21,28,55,25,10,50,32,26.5
Endogenous,GNG4,NM_001098721.1,NA,51,17,63,14,16,16,25,19,17,-34,102,16.5,34.4
Endogenous,LDHB,NM_001174097.2,572,465,NA,NA,601,272,NA,262,696,393,-17.5,754.5,623,348
Endogenous,DTX4,NM_015177.1,78,29,NA,NA,106,67,37,38,41,134,-106,278,65.5,67
Endogenous,CD3G,NM_000073.2,14,16,17,21,33,25,NA,23,29,20,15.5,27.5,23.2,21
Endogenous,S100A8,NM_002964.4,NA,16,249,80,22,80,70,NA,48,28,-50,158,97.2,51
Endogenous,ZC3H12A,NM_025079.2,29,30,186,NA,137,28,28,31,18,NA,23.5,35.5,79.6,29.7
Endogenous,IER3,NM_003897.3,280,817,2538,812,2325,106,317,61,382,91,-990.5,1893.5,1168.4,377.4
Endogenous,CD4,NM_000616.4,29,33,148,NA,216,51,57,29,41,35,6,78,98.2,37
Endogenous,S100A12,NM_005621.1,21,18,NA,42,NA,32,21,44,25,18,-18,78,22.3,30.8
Endogenous,CD6,NM_001254751.1,16,22,68,NA,NA,46,76,31,46,35,8.5,68.5,51.5,33.5
Endogenous,CD163,NM_203416.2,144,83,462,729,331,80,289,605,197,169,-700,1388,284.6,333.2
Endogenous,DUSP2,NM_004418.3,22,25,73,NA,45,22,28,29,22,19,11.5,39.5,38,23.8
Endogenous,HERC6,NM_001165136.1,158,56,NA,NA,157,66,NA,67,119,109,1.5,173.5,144.7,74.5
Endogenous,MRC1,NM_002438.2,23,NA,320,96,102,97,201,NA,145,87,72,112,158.2,93.3
Endogenous,DLL4,NM_019074.2,36,53,252,NA,153,33,41,40,95,81,-21.5,142.5,115.4,51.8
Endogenous,SAMSN1,NM_001256370.1,63,69,114,NA,408,113,383,137,130,259,-106,478,219.6,144.5
Endogenous,CD28,NM_001243077.1,19,41,80,NA,NA,54,68,25,38,55,20,76,51.2,43.8
Endogenous,TAP2,NM_018833.2,321,120,860,NA,788,115,255,173,196,156,40.5,252.5,484,141
Endogenous,ICOS,NM_012092.3,6,NA,17,NA,84,25,78,22,29,24,17.5,29.5,42.8,23.7
Endogenous,TNFSF12,NM_003809.2,45,100,692,NA,728,142,95,85,112,120,37,205,334.4,111.8
Endogenous,IFITM2,NM_006435.2,956,NA,2987,NA,4443,953,602,1085,791,1088,750.5,1290.5,1955.8,1042
Endogenous,DNMT1,NM_001130823.2,319,236,1553,NA,1267,306,269,215,294,326,101,461,740.4,270.8
Endogenous,TNFSF8,NM_001244.3,32,28,49,85,NA,30,42,35,40,67,-25.5,122.5,40.8,49
Endogenous,TGFB2,NM_001135599.3,48,49,246,123,314,248,88,58,141,139,-63.5,260.5,167.4,123.4
Endogenous,TMEM140,NM_018295.3,64,41,176,NA,245,48,91,56,64,84,-6,138,128,57.2
Endogenous,COL11A1,NM_001854.3,514,133,NA,6891,NA,1455,513,1000,362,3524,-2786,7310,463,2600.6
Endogenous,GIMAP6,NR_024115.1,20,40,NA,NA,123,38,68,60,63,50,10,90,68.5,47
Endogenous,IRF4,NM_002460.1,33,79,103,NA,174,47,NA,37,212,72,-1,127,130.5,58.8
Endogenous,BNIP3,NM_004052.3,445,240,332,221,354,209,135,150,167,187,136,272,286.6,201.4
Endogenous,FPR3,NM_002030.4,225,79,231,NA,511,138,394,255,173,313,-124.5,575.5,306.8,196.2
Endogenous,HLA-C,NM_002117.4,1786,695,6150,NA,7607,575,1252,644,670,731,513.5,861.5,3493,661.2
Endogenous,VEGFC,NM_005429.4,135,69,307,NA,265,85,133,113,150,169,-41,295,198,109
Endogenous,SIGLEC1,NM_023068.3,58,66,296,NA,439,43,40,70,61,94,24,136,178.8,68.2
Endogenous,BID,NM_001196.3,40,34,196,NA,193,71,53,30,57,74,-26,134,107.8,52.2
Endogenous,MAPK10,NM_001318067.1,62,NA,113,32,35,34,26,22,26,45,12.5,64.5,52.4,33.2
Endogenous,FCN1,NM_002003.4,16,24,NA,NA,42,30,32,29,30,22,15,39,30,26.2
Endogenous,H2AFX,NM_002105.2,71,33,163,NA,163,36,52,67,59,44,-10.5,113.5,101.6,45
Endogenous,CBLC,NM_001130852.1,34,35,82,NA,NA,29,22,21,40,32,20,44,44.5,29.2
Endogenous,CASP3,NM_032991.2,224,225,670,NA,844,195,399,157,365,280,67.5,407.5,500.4,214.2
Endogenous,PIAS4,NM_015897.2,200,NA,597,NA,896,116,81,108,126,101,78.5,138.5,380,108.3
Endogenous,HLA-DRA,NM_019111.3,1430,2507,6505,6785,16375,5762,10826,4397,4299,5723,2349.5,7809.5,7887,5034.8
Endogenous,ULBP2,NM_025217.2,19,24,57,NA,46,29,18,20,38,26,16.5,36.5,35.6,24.8
Endogenous,CASP1,NM_001223.4,71,77,368,NA,407,102,177,95,109,134,36.5,192.5,226.4,102
Endogenous,MS4A2,NM_000139.3,18,19,66,NA,94,29,53,26,40,64,-31,121,54.2,34.5
Endogenous,HSD11B1,NM_181755.2,21,24,39,NA,27,18,22,25,30,22,17.5,29.5,27.8,22.2
Endogenous,GAS1,NM_002048.2,47,41,NA,NA,289,128,40,65,84,119,-29.5,222.5,115,88.2
Endogenous,FUT4,NM_002033.3,41,42,163,NA,231,60,53,47,52,62,24.5,84.5,108,52.8
Endogenous,CSF1,NM_000757.5,59,71,812,NA,639,138,80,78,99,88,-12,228,337.8,93.8
Endogenous,FAM30A,NR_026800.2,23,25,50,NA,27,23,NA,21,62,16,15,31,40.5,21.2
Endogenous,ITPK1,NM_001142593.2,273,1750,818,1268,996,159,214,254,455,297,-1267,2789,551.2,745.6
Endogenous,BCAT1,NM_005504.6,81,NA,83,NA,NA,94,96,98,84,135,32.5,196.5,86,109
Endogenous,CD80,NM_005191.3,43,20,56,NA,NA,45,39,33,42,89,-51,173,45,46.8
Endogenous,C1QB,NM_000491.3,302,312,1642,2311,2848,575,1721,1326,664,967,-551.5,2452.5,1435.4,1098.2
Endogenous,RELN,NM_005045.3,18,27,NA,25,19,NA,19,27,17,NA,22,30,18.2,26.3
Endogenous,ICAM5,NM_003259.3,16,14,NA,18,19,NA,17,23,22,19,10.5,30.5,18.5,18.5
Endogenous,MAML2,NM_032427.1,39,53,NA,156,131,101,56,61,72,121,-29,211,74.5,98.4
Endogenous,OLR1,NM_002543.3,107,73,59,NA,NA,203,178,252,43,358,-29.5,590.5,96.8,221.5
Endogenous,NFKBIE,NM_004556.2,58,43,143,NA,153,49,70,47,59,57,32,72,96.6,49
Endogenous,WNT11,XM_011545241.2,20,19,70,34,44,NA,27,24,19,30,9,49,36,26.8
Endogenous,LILRA3,NM_001172654.2,28,31,15,14,18,21,25,32,32,32,4.5,48.5,23.6,26
Endogenous,TNFSF13B,NM_001145645.2,51,81,174,NA,216,77,143,65,78,115,20,172,132.4,84.5
Endogenous,TDO2,NM_005651.3,102,27,26,NA,44,29,63,45,86,54,-8.5,91.5,64.2,38.8
Endogenous,MAP3K5,NM_005923.3,64,125,613,177,421,215,127,155,179,128,54.5,250.5,280.8,160
Endogenous,HLA-F,NM_001098479.1,303,151,666,NA,593,140,205,95,212,92,11,235,395.8,119.5
Endogenous,CD3E,NM_000733.3,28,NA,106,NA,206,63,149,65,89,63,60,68,115.6,63.7
Endogenous,RRM2,NM_001034.1,714,44,451,NA,766,108,223,195,374,227,-70.5,405.5,505.6,143.5
Endogenous,C7,NM_000587.2,33,81,156,58,110,23,79,117,NA,111,-21.5,190.5,94.5,78
Endogenous,TNFRSF14,NM_003820.3,203,197,1726,NA,2747,196,265,237,168,246,123.5,319.5,1021.8,219
Endogenous,FCGRT,NM_004107.4,216,403,2857,NA,1718,343,379,303,1134,605,-50,998,1260.8,413.5
Endogenous,WNT2,NM_003391.2,41,24,100,99,47,29,89,27,24,94,-73.5,194.5,60.2,54.6
Endogenous,MICB,NM_005931.3,40,21,165,NA,NA,40,109,72,45,59,-8,120,89.8,48
Endogenous,HMGA1,NM_145902.2,253,110,642,NA,NA,100,91,95,106,79,72.5,132.5,273,96
Endogenous,IL21R,NM_021798.3,19,13,16,NA,48,17,38,17,12,21,11,27,26.6,17
Endogenous,CD300A,NM_001256841.1,38,34,148,NA,194,71,45,43,48,75,-5,123,94.6,55.8
Endogenous,TWIST1,NM_000474.3,160,93,97,138,51,35,14,25,22,20,-77,195,68.8,62.2
Endogenous,IL1RN,NM_000577.3,34,19,NA,NA,35,26,18,15,25,24,8.5,36.5,28,21
Endogenous,CXCL1,NM_001511.3,18,9,NA,NA,8,15,19,13,13,20,2.5,30.5,14.5,14.2
Endogenous,SFXN1,NM_001322977.1,662,NA,732,760,732,305,NA,313,622,447,-357.5,1430.5,687,456.2
Endogenous,GNLY,NM_012483.3,11,36,134,NA,228,34,197,26,41,31,23.5,43.5,122.2,31.8
Endogenous,NID2,NM_007361.3,231,168,565,NA,974,477,182,327,339,741,-294,1362,458.2,428.2
Endogenous,NECTIN1,NM_002855.4,180,90,NA,NA,605,187,114,160,207,130,44.5,272.5,276.5,141.8
Endogenous,SERPINA1,NM_001127702.1,164,NA,NA,133,222,226,225,95,186,127,-21.5,374.5,199.2,145.2
Endogenous,PDGFB,NM_002608.2,45,51,119,NA,146,30,27,21,51,36,-1.5,82.5,77.6,34.5
Endogenous,HLA-B,NM_005514.6,4911,2885,29639,NA,24741,3051,6006,3822,4081,3240,1894.5,4978.5,13875.6,3249.5
Endogenous,VCAM1,NM_001078.3,NA,124,NA,713,324,136,286,131,287,372,-230.5,733.5,299,295.2
Endogenous,HLA-DPB1,NM_002121.5,383,NA,3055,2714,7874,2692,4927,2049,2321,2541,1084.5,3656.5,3712,2499
Endogenous,HLA-DOA,NM_002119.3,29,49,105,NA,NA,72,93,50,55,66,17,105,70.5,59.2
Endogenous,GBP2,NM_004120.4,128,77,430,NA,545,185,287,109,181,138,-5,299,314.2,127.2
Endogenous,ATM,NM_000051.3,343,396,1465,NA,1719,487,620,449,624,534,321.5,661.5,954.2,466.5
Endogenous,PSMB8,NM_004159.4,275,176,1017,NA,1179,126,412,230,161,195,95,311,608.8,181.8
Endogenous,MLH1,NM_000249.2,173,132,799,NA,533,162,165,129,212,216,6,342,376.4,159.8
Endogenous,PLA1A,NM_015900.2,23,31,36,35,NA,40,42,37,34,NA,27.5,47.5,33.8,35.8
Endogenous,NT5E,NM_002526.3,109,52,289,NA,201,83,95,92,110,136,3.5,215.5,160.8,90.8
Endogenous,PALMD,NM_017734.4,23,74,NA,162,139,87,53,120,82,83,27.5,175.5,74.2,105.2
Endogenous,UBA7,NM_003335.2,148,83,620,NA,627,165,143,87,111,133,-30,282,329.8,117
Endogenous,PIK3CD,NM_001350234.1,36,36,142,NA,153,40,54,28,70,53,10.5,78.5,91,39.2
Endogenous,NOD2,NM_022162.1,36,40,137,NA,NA,41,80,33,50,47,29.5,57.5,75.8,40.2
Endogenous,CEACAM3,NM_001277163.2,33,39,26,15,25,30,23,35,35,21,0,56,28.4,28
Endogenous,RIPK3,NM_006871.3,43,76,90,112,NA,33,70,25,43,40,-31.5,140.5,61.5,57.2
Endogenous,IL1R2,NR_048564.1,16,NA,NA,32,21,23,20,NA,16,30,9.5,45.5,18.2,28.3
Endogenous,JAK1,NM_002227.1,316,413,2933,NA,2159,524,377,464,486,463,371.5,615.5,1254.2,466
Endogenous,ENO1,NM_001428.3,5271,843,8845,NA,4519,1029,655,855,1153,1248,265.5,1837.5,4088.6,993.8
Endogenous,LILRA1,NM_001278318.1,27,23,51,55,NA,38,37,28,34,40,10,58,37.2,36.8
Endogenous,BBS1,NM_024649.4,83,97,406,NA,310,96,70,89,95,92,84.5,104.5,192.8,93.5
Endogenous,MYD88,NM_002468.3,214,176,1092,NA,1248,160,148,136,154,183,125.5,217.5,571.2,163.8
Endogenous,CXCR3,NM_001142797.1,13,20,32,NA,NA,28,39,23,25,18,8,40,27.2,22.2
Endogenous,CD1C,NM_001765.2,9,22,68,25,49,41,15,19,53,34,4,52,38.8,28.2
Endogenous,TLR9,NM_017442.2,20,28,45,NA,40,39,35,29,29,32,14,54,33.8,32
Endogenous,CCL7,NM_006273.3,67,23,44,NA,17,26,19,21,25,31,11,43,34.4,25.2
Endogenous,CPA3,NM_001870.2,NA,142,288,NA,416,245,NA,111,338,782,-818,1742,347.3,320
Endogenous,SH2D1A,NM_001114937.2,20,29,37,72,101,35,75,47,41,25,2,74,54.8,41.6
Endogenous,CCR4,NM_005508.4,33,24,55,NA,NA,54,104,35,45,37,6.5,82.5,59.2,37.5
Endogenous,HDAC4,NM_006037.3,46,NA,269,NA,305,106,51,89,82,78,36,148,150.6,91
Endogenous,POLD1,NM_001256849.1,44,41,147,NA,165,40,35,33,40,48,28,60,86.2,40.5
Endogenous,PTPN11,NM_001330437.1,610,922,2215,NA,1767,452,455,404,591,581,-253,1627,1127.6,589.8
Endogenous,JAK2,NM_004972.2,152,236,2467,NA,1219,290,414,254,373,337,129.5,461.5,925,279.2
Endogenous,WNT10A,NM_025216.2,17,NA,44,NA,59,28,68,28,42,27,25.5,29.5,46,27.7
Endogenous,ITGB2,NM_000211.3,166,174,752,NA,NA,452,380,240,409,501,-151.5,892.5,426.8,341.8
Endogenous,TYMS,NM_001071.1,269,45,412,NA,342,83,NA,84,365,122,24.5,180.5,347,83.5
Endogenous,KAT2B,NM_003884.4,125,310,1221,571,997,227,392,488,279,285,-19.5,792.5,602.8,376.2
Endogenous,ITGA6,NM_001316306.1,65,246,NA,448,855,187,397,497,302,279,-57,751,404.8,331.4
Endogenous,TBX21,NM_013351.1,24,28,28,29,NA,NA,31,24,33,26,21.5,33.5,29,26.8
Endogenous,BRCA1,NM_007294.3,42,70,163,NA,185,51,52,30,48,60,22.5,98.5,98,52.8
Endogenous,COL17A1,NM_000494.3,51,35,NA,151,18,NA,31,47,367,117,-109,307,116.8,87.5
Endogenous,BIRC3,NM_001165.4,20,31,65,NA,60,30,44,26,31,34,24,40,44,30.2
Endogenous,KRAS,NM_004985.3,151,181,979,NA,591,141,196,153,231,212,64.5,300.5,429.6,171.8
Endogenous,IL11RA,NM_147162.1,39,89,NA,NA,164,82,51,42,66,68,36.5,120.5,80,70.2
Endogenous,SIRPA,NM_001040023.1,101,98,630,445,451,185,172,164,163,280,-10,454,303.4,234.4
Endogenous,CEBPB,NM_005194.3,357,NA,2224,NA,1124,345,293,373,386,392,274.5,462.5,876.8,370
Endogenous,VTCN1,NM_001253849.1,755,68,NA,701,332,NA,276,87,225,188,-834,1622,397,261
Endogenous,SGK1,NM_005627.3,161,110,1200,NA,814,266,252,227,370,351,41,537,559.4,238.5
Endogenous,NLRC5,NM_032206.4,135,66,240,NA,NA,93,127,97,103,125,45,173,151.2,95.2
Endogenous,CCL8,NM_005623.2,NA,46,131,NA,88,61,124,78,52,122,-30.5,213.5,98.8,76.8
