code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,AREG,NM_001657.3,57,46,NA,83,14,16,11,20,334,15,-29,91,104,36
Endogenous,BBC3,NM_014417.4,180,210,630,NA,944,164,122,197,228,173,117.5,265.5,420.8,186
Endogenous,EDN1,NM_001955.2,36,23,NA,NA,41,53,27,43,50,64,11.5,95.5,38.5,45.8
Endogenous,PARP12,NM_022750.3,264,130,681,NA,695,151,234,202,299,238,20.5,368.5,434.6,180.2
Endogenous,PIK3CG,NM_001282426.1,38,53,200,NA,NA,101,170,64,73,108,-2,174,120.2,81.5
Endogenous,IL4,NM_172348.1,13,NA,8,15,10,NA,20,15,15,15,15,15,13.2,15
Endogenous,F2RL1,NM_005242.4,48,19,249,108,135,76,41,36,83,68,-24,136,111.2,61.4
Endogenous,CXCL6,NM_002993.3,20,17,NA,23,11,25,11,17,13,14,8,32,13.8,19.2
Endogenous,TNFSF18,NM_005092.3,17,14,NA,45,29,17,17,16,17,28,-2,46,20,24
Endogenous,JAK3,NM_000215.2,44,23,170,NA,149,33,75,42,59,38,19.5,55.5,99.4,34
Endogenous,NKG7,NM_005601.3,33,58,327,NA,526,53,349,108,95,87,-17,183,266,76.5
Endogenous,TAPBP,NM_003190.4,533,546,2299,NA,3535,458,372,589,696,430,261.5,785.5,1487,505.8
Endogenous,MTOR,NM_004958.3,200,183,1081,NA,904,154,110,141,204,188,103,239,499.8,166.5
Endogenous,SELP,NM_003005.3,13,22,NA,21,25,24,32,NA,39,26,16.5,28.5,27.2,23.2
Endogenous,HLA-E,NM_005516.5,670,644,4796,NA,4470,628,1618,996,1116,1037,54.5,1626.5,2534,826.2
Endogenous,GOT1,NM_002079.2,265,228,877,NA,790,182,165,292,360,225,124.5,392.5,491.4,231.8
Endogenous,SMAP1,NM_001044305.2,157,219,761,NA,668,220,242,191,332,242,184.5,276.5,432,218
